Model,Toxicity,Stereotype Bias,Adversarial Robustness,Out-of-Distribution Robustness,Robustness to Adversarial Demonstrations,Privacy,Machine Ethics,Fairness,Average
hf/compressed-llm/llama-2-13b-awq@3bit_128g,23.31,48.67,50.35,53.13,38.97,75.53,81.85,86.46,64.38
hf/compressed-llm/llama-2-13b-awq@4bit_128g,22.77,31.67,43.16,54.56,46.68,74.82,78.56,87.32,64.18
hf/compressed-llm/llama-2-13b-awq@8bit_128g,22.46,35.0,40.64,55.65,49.48,74.38,82.48,87.68,65.05
hf/compressed-llm/llama-2-13b-chat-awq@4bit_128g,81.04,98.0,39.48,58.16,61.38,95.59,69.17,80.83,67.43
hf/compressed-llm/llama-2-13b-chat-awq@8bit_128g,81.13,97.67,37.39,58.38,66.29,96.31,61.51,82.04,66.99
hf/compressed-llm/llama-2-13b-chat-gptq@8bit_128g,81.06,97.67,37.12,59.1,67.2,95.56,61.84,84.8,67.6
hf/compressed-llm/llama-2-13b-chat-magnitude-semistruct@0.5_1to2,31.81,92.0,37.17,32.63,41.41,94.72,55.23,94.8,59.33
hf/compressed-llm/llama-2-13b-chat-magnitude-semistruct@0.5_4to8,71.08,95.67,37.72,48.82,53.89,94.54,43.87,91.63,61.75
hf/compressed-llm/llama-2-13b-chat-sparsegpt-semistruct@0.5_1to2,43.13,89.67,50.83,32.85,42.88,67.73,68.36,86.35,58.17
hf/compressed-llm/llama-2-13b-chat-sparsegpt-semistruct@0.5_2to4_seed0,74.04,94.0,40.3,54.14,47.87,89.15,43.73,90.38,60.93
hf/compressed-llm/llama-2-13b-chat-sparsegpt-semistruct@0.5_2to4_seed1,69.91,90.33,40.31,51.36,52.93,87.7,33.05,81.39,57.79
hf/compressed-llm/llama-2-13b-chat-sparsegpt-semistruct@0.5_2to4_seed2,68.26,77.0,40.95,46.02,48.23,88.5,65.62,79.13,61.41
hf/compressed-llm/llama-2-13b-chat-sparsegpt-semistruct@0.5_4to8,77.94,94.67,39.76,53.03,52.47,90.05,44.4,83.99,60.62
hf/compressed-llm/llama-2-13b-chat-wanda-semistruct@0.5_1to2,39.84,95.67,43.88,24.15,47.85,79.48,72.09,87.62,59.18
hf/compressed-llm/llama-2-13b-chat-wanda-semistruct@0.5_4to8,74.75,87.67,30.2,52.15,53.55,91.19,66.55,84.09,62.95
hf/compressed-llm/llama-2-13b-chat-wanda@0.5_2to4,49.25,92.67,39.85,44.09,50.08,81.0,30.5,88.39,55.65
hf/compressed-llm/llama-2-13b-gptq@3bit_128g,23.68,35.67,44.06,45.27,48.22,77.72,73.0,87.55,62.64
hf/compressed-llm/llama-2-13b-gptq@4bit_128g,22.42,30.33,36.31,49.95,45.11,76.87,81.62,83.38,62.21
hf/compressed-llm/llama-2-13b-gptq@8bit_128g,22.32,35.33,40.76,55.63,49.65,72.14,82.42,86.26,64.48
hf/compressed-llm/llama-2-13b-wanda@0.5_2to4,25.84,75.33,38.63,28.49,55.95,76.51,64.76,83.78,58.02
hf/compressed-llm/vicuna-13b-v1.3-awq@3bit_128g,30.77,72.67,42.19,59.2,56.31,79.18,45.99,67.9,58.46
hf/compressed-llm/vicuna-13b-v1.3-awq@4bit_128g,28.45,74.0,39.91,61.61,60.81,79.55,57.76,73.11,62.13
hf/compressed-llm/vicuna-13b-v1.3-awq@8bit_128g,29.55,80.0,39.53,59.47,62.49,79.11,54.03,70.44,60.85
hf/compressed-llm/vicuna-13b-v1.3-wanda@0.5_2to4,42.04,42.67,56.26,48.95,39.36,69.47,75.77,97.12,64.49
hf/efficient-llm/llama-2-13b-chat-awq-128example-randomseed@3bit_128g_0seed,77.85,91.67,38.63,55.3,58.88,92.54,57.1,74.47,62.82
hf/efficient-llm/llama-2-13b-chat-awq-128example-randomseed@3bit_128g_1seed,78.94,95.0,37.68,59.75,56.72,93.83,61.73,72.61,63.72
hf/efficient-llm/llama-2-13b-chat-awq-128example-randomseed@3bit_128g_2seed,77.46,90.67,37.75,60.9,58.52,93.5,59.19,75.03,64.15
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@3bit_128g_0seed,29.41,95.33,39.33,33.21,49.03,85.86,60.63,84.83,58.82
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@3bit_128g_1seed,33.96,94.67,36.03,30.14,44.87,88.3,53.75,87.82,56.82
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@3bit_128g_2seed,32.86,95.0,37.49,34.02,48.21,90.67,41.27,76.64,54.71
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@4bit_128g_0seed,78.3,95.67,34.99,54.39,68.62,92.96,77.13,86.55,69.11
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@4bit_128g_1seed,76.18,93.67,33.71,52.39,66.14,94.04,80.04,92.06,69.73
hf/efficient-llm/llama-2-13b-chat-gptq-larger-caliset-llama2-temp@4bit_128g_2seed,77.09,93.67,33.65,55.58,64.37,93.05,71.33,85.31,67.21
hf/efficient-llm/vicuna-13b-v1.3-gptq@3bit_128g,50.92,87.0,31.83,53.48,49.22,75.93,50.38,90.08,58.49
hf/vita-group/llama-2-13b-chat_magnitude_semistruct@0.5_2to4,49.31,75.33,46.44,50.91,52.15,89.36,22.08,79.56,56.75
hf/vita-group/llama-2-13b_magnitude_semistruct@0.5_2to4,18.19,61.33,37.84,27.4,58.63,82.7,59.65,91.28,59.58
hf/vita-group/llama-2-13b_sparsegpt_semistruct@0.5_2to4,26.82,39.33,43.68,38.86,58.32,77.89,69.52,88.06,62.72
hf/vita-group/vicuna-13b-v1.3_gptq@4bit_128g,48.34,62.33,39.27,62.9,60.38,79.3,73.63,95.92,68.57
hf/vita-group/vicuna-13b-v1.3_gptq@8bit_128g,49.79,80.33,39.96,59.44,60.59,78.51,54.64,69.68,60.47
hf/vita-group/vicuna-13b-v1.3_magnitude_semistruct@0.5_2to4,39.82,94.0,47.14,53.41,62.18,65.69,44.28,91.36,60.68
hf/vita-group/vicuna-13b-v1.3_sparsegpt_semistruct@0.5_2to4,38.97,51.33,53.39,54.01,38.28,66.28,71.67,91.67,62.55